krs,status_code,error,name_discovery,source_codes
0000135787,204,not_found_or_deregistered,"""KIESEL-POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000135987,204,not_found_or_deregistered,"""GUMAR"" ZAKŁAD WYTWARZANIA ARTYKUŁÓW GUMOWYCH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000139006,204,not_found_or_deregistered,"""ALTRAK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000139533,204,not_found_or_deregistered,"""MMM MOSTOSTAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000142106,204,not_found_or_deregistered,"""INTER FORST POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000142175,204,not_found_or_deregistered,"""ELTER"" TERESA LACH, TADEUSZ LACH SPÓŁKA JAWNA",16.10.Z:main
0000142658,204,not_found_or_deregistered,"""FOREST STYLE POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000143728,204,not_found_or_deregistered,"""AGATA & EMILIA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000144286,204,not_found_or_deregistered,"""ELPOBUD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000146540,204,not_found_or_deregistered,"""BRICOSTORE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000146558,204,not_found_or_deregistered,"""EURO-BUS M. KŁĄB I SYNOWIE. SPÓŁKA JAWNA""",16.10.Z:main
0000146693,204,not_found_or_deregistered,"""MAXITECH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000146889,204,not_found_or_deregistered,"""IRYS"" J.GABRYŚ, R.GABRYŚ SPÓŁKA JAWNA",16.10.Z:main
