krs,status_code,error,name_discovery,source_codes
0000048653,204,not_found_or_deregistered,"""BIO-ENERGIA ESP"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000048966,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO BUDOWNICTWA OGÓLNEGO I ROBÓT INŻYNIERYJNYCH ""INŻYNIERIA"" SPÓŁKA  Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000049599,204,not_found_or_deregistered,SAI AUTOMOTIVE POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000050593,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO PRODUKCYJNO - HANDLOWO - USŁUGOWE ""DREWIT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000051364,204,not_found_or_deregistered,ZAKŁAD PRODUKCJI I OBROTU WYROBAMI Z DREWNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000051553,204,not_found_or_deregistered,"""WIAK TRADE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000052383,204,not_found_or_deregistered,"ZAKŁAD STOLARKI BUDOWLANEJ ""STOLBUD"" SPÓŁKA AKCYJNA",16.10.Z:main
0000053048,204,not_found_or_deregistered,"FIRMA DORADZTWA PODATKOWEGO I FINANSOWEGO ""ALFA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000053053,204,not_found_or_deregistered,AMIGA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000053160,204,not_found_or_deregistered,"""BUDO-TRANS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000053724,204,not_found_or_deregistered,VOX - INDUSTRIE SPÓŁKA AKCYJNA,16.10.Z:main
0000055091,204,not_found_or_deregistered,DOLNOŚLĄSKA FABRYKA MASZYN ZANAM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000055115,204,not_found_or_deregistered,"""PRESCOTT INVESTMENT GROUP"" SPÓŁKA AKCYJNA",16.10.Z:main
0000056562,204,not_found_or_deregistered,KOLEKCJA STEINHOFF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000056817,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""TOPEX LTD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000057175,204,not_found_or_deregistered,"""M.G.IMPEX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000057674,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO HANDLOWE ""AGROMOR"" RYSZARD NIEMCZURA I PAWEŁ ŁUCZAK SŁAWNO SPÓŁKA JAWNA",16.10.Z:main
0000058584,204,not_found_or_deregistered,"""VOX-ACTIVE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000058729,204,not_found_or_deregistered,"KONSORCJUM BUDOWLANE ""KONS-BUD"" SPÓŁKA AKCYJNA",16.10.Z:main
0000059202,204,not_found_or_deregistered,"""PRZEDSIĘBIORSTWO AMB"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000059338,204,not_found_or_deregistered,"FABRYKA ""SKLEJKA-PISZ"" SPÓŁKA AKCYJNA",16.10.Z:main
0000059877,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWA WIELOBRANŻOWEGO ""SAWICCY"" SPÓŁKI JAWNEJ",16.10.Z:main
0000060919,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""ALGUM"" PIOTR KOŁODZIEJ, JAN KAMIŃSKI SPÓŁKA JAWNA ZAKŁAD PRACY CHRONIONEJ",16.10.Z:main
0000061670,204,not_found_or_deregistered,"""PIAS-TAR"" JURGA, PRAŁAT SPÓŁKA JAWNA",16.10.Z:main
0000061708,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWO-PRODUKCYJNE ""TERMOKOP""
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000061924,204,not_found_or_deregistered,"""MD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000062897,204,not_found_or_deregistered,"""WĘGLOPOL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
